study_id,first_name,middle_name,last_name,suffix,height,member,birth_date
S-0000,Albert,Craig,King,PhD,183.0,0,1940-05-20
S-0001,David,Ruben,White,MD,172.6,1,1941-04-13
S-0002,Daniel,Mary,Jones,DDS,172.7,1,1945-03-02
S-0003,Brian,Brian,Ramirez,Jr.,179.8,1,1940-04-25
S-0004,Damon,Roberto,Carpenter,PhD,179.7,1,1942-11-20
S-0005,Jennifer,Christopher,Gallegos,MD,167.9,0,1947-08-13
S-0006,Nicole,Jason,Williams,DDS,168.4,0,1946-01-10
S-0007,James,Amber,Wilkinson,MD,168.9,1,1945-02-15
S-0008,Steven,Maria,Boone,IV,184.8,1,1946-09-15
S-0009,Brandy,Rebecca,Martinez,DDS,170.5,0,1944-02-17
S-0010,Jonathan,Justin,Henderson,Jr.,179.1,0,1940-08-07
S-0011,Shelley,Morgan,Whitehead,Jr.,175.8,0,1943-09-28
S-0012,Kenneth,Frank,Haas,PhD,181.6,1,1940-10-12
S-0013,Nicole,Brian,Morales,DDS,169.1,1,1945-09-01
S-0014,William,Roger,Vance,MD,172.6,0,1943-03-31
S-0015,Patrick,Shane,Soto,Jr.,185.6,1,1941-07-08
S-0016,Benjamin,Jennifer,Webb,MD,182.0,1,1941-06-07
S-0017,Sierra,Christopher,Fox,MD,187.5,1,1944-12-14
S-0018,Derrick,Robert,Greene,Jr.,175.2,0,1940-08-09
S-0019,Emily,Vickie,Velasquez,MD,186.8,1,1949-02-03
S-0020,Jean,Tammy,Lane,DDS,186.7,1,1944-07-13
S-0021,Elizabeth,Ashley,Baker,Jr.,190.0,0,1946-02-01
S-0022,Megan,Mary,Perry,DDS,170.7,0,1943-02-19
S-0023,Betty,Wesley,Cole,DDS,178.6,1,1940-09-27
S-0024,Lauren,Nicole,Chase,PhD,185.3,0,1945-12-19
S-0025,Donna,Victor,York,DDS,171.8,0,1945-07-13
S-0026,Jonathon,Julie,Mcgee,MD,166.3,1,1944-07-07
S-0027,Michael,Angela,Kennedy,PhD,160.2,0,1942-01-24
S-0028,Christopher,Mary,Ellis,MD,152.4,0,1944-07-09
S-0029,Jamie,Emily,Wilson,MD,165.0,1,1941-09-13
S-0030,Mariah,Michael,Huerta,MD,180.6,1,1941-03-27
S-0031,Christine,Brittany,Oneill,MD,176.2,0,1945-12-03
S-0032,Angela,Chelsea,Mccann,MD,176.9,0,1944-12-14
S-0033,Brandon,Katie,White,DVM,159.0,1,1945-08-18
S-0034,Ashlee,Jennifer,Hoffman,DVM,175.6,0,1941-03-11
S-0035,Sarah,Kimberly,Wood,Jr.,181.8,0,1943-03-14
S-0036,Ryan,Barbara,Miles,MD,168.9,0,1941-12-29
S-0037,Carol,James,Hudson,Jr.,177.2,0,1944-06-01
S-0038,Jacob,Betty,Davidson,MD,187.0,1,1940-03-11
S-0039,Shane,Brian,Reyes,DDS,180.2,0,1948-11-26
S-0040,Veronica,Patricia,Cannon,II,182.0,1,1940-09-03
S-0041,Peggy,Nicholas,Mack,Jr.,186.4,0,1948-04-17
S-0042,Ashley,Daniel,Webb,PhD,166.4,1,1946-06-02
S-0043,Jennifer,Meagan,Tanner,MD,192.9,0,1944-01-03
S-0044,Carol,Sarah,Jones,MD,1.6480000000000001,0,1946-06-08
S-0045,Mark,Mary,Young,DDS,181.4,0,1947-09-23
S-0046,James,Omar,Camacho,Jr.,166.9,1,1940-05-04
S-0047,Scott,Ellen,Stuart,DVM,177.5,0,1947-03-23
S-0048,Christopher,Beth,Smith,MD,167.0,0,1944-12-05
S-0049,Ronald,Jorge,Harris,DVM,183.3,0,1948-12-03
S-0050,Jack,Frank,Vang,PhD,170.2,0,1944-11-02
S-0051,Carl,Benjamin,Stevens,MD,162.4,1,1940-01-22
S-0052,Jacqueline,Jonathan,Dennis,PhD,165.5,0,1946-08-28
S-0053,Jeremy,Carrie,Lambert,DDS,173.0,0,1945-07-15
S-0054,Michael,Dana,Ferrell,II,166.1,0,1943-04-27
S-0055,Stephanie,Robert,Davis,DDS,174.3,0,1943-07-26
S-0056,Ryan,Brandi,Murphy,MD,178.6,0,1941-05-22
S-0057,Levi,Jacob,Floyd,MD,164.5,0,1947-03-09
S-0058,Lauren,Thomas,Oneill,PhD,177.3,0,1948-08-14
S-0059,Shelley,Kimberly,Chen,DDS,170.4,1,1949-01-25
S-0060,Jason,Richard,Klein,MD,180.6,1,1946-01-25
S-0061,Andrew,Alejandra,Mack,DDS,162.6,0,1944-07-02
S-0062,Christina,Stanley,Torres,DDS,169.4,0,1941-06-12
S-0063,Andrew,David,Arroyo,MD,181.1,0,1947-04-06
S-0064,Patricia,Matthew,Flores,DDS,163.7,0,1943-07-26
S-0065,Katrina,Mark,Mays,DDS,194.3,0,1946-06-26
S-0066,Brian,Sarah,Vincent,MD,169.5,1,1947-09-08
S-0067,Brittany,Andrea,Hernandez,Jr.,170.5,1,1942-11-01
S-0068,Melissa,Charles,Perez,PhD,164.4,1,1944-10-05
S-0069,Theresa,Morgan,Knapp,Jr.,184.3,1,1942-10-10
S-0070,Melissa,John,Harrison,DDS,170.8,0,1941-07-24
S-0071,Jessica,Tonya,Davis,Jr.,182.6,0,1946-05-09
